study_id,author_year,country,population_type,sample_size_intervention,sample_size_control,intervention_name,dose_mg_per_day,duration_days,outcome_name,biomarker_unit,intervention_baseline_mean,intervention_baseline_sd,intervention_post_mean,intervention_post_sd,control_baseline_mean,control_baseline_sd,control_post_mean,control_post_sd,mean_difference,sd_difference,p_value,effect_direction,statistical_significance
35240291,Mahjabeen_2022,Pakistan,Type2_Diabetes,55,55,Resveratrol,200,168,HbA1c,percent,8.64,1.34,8.20,,8.40,1.15,8.42,,-0.45,,0.033,decrease,yes
30237505,Bo_2018,Italy,Type2_Diabetes,65,62,Resveratrol,500,180,HbA1c,percent,6.9,1.2,,,6.9,1.0,,,,,,,
30237505,Bo_2018,Italy,Type2_Diabetes,65,62,Resveratrol,40,180,HbA1c,percent,7.2,1.3,,,6.9,1.0,,,,,,,
29914666,Khodabandehloo_2018,Iran,Type2_Diabetes,25,20,Resveratrol,800,56,HbA1c,percent,,,,,,,,,-0.08,0.833,0.745,decrease,no
29357033,Seyyedebrahimi_2018,Iran,Type2_Diabetes,23,23,Resveratrol,800,60,HbA1c,percent,7.6,,7.5,,7.5,,7.4,,-0.218,,0.270,decrease,no
32144833,Tabatabaie_2020,Iran,Type2_Diabetes,35,36,Resveratrol,1000,56,HbA1c,percent,7.33,0.65,,,7.34,0.55,,,,,,,
27520400,Bo_2016,Italy,Type2_Diabetes,59,58,Resveratrol,40,180,HbA1c,percent,7.2,1.3,7.27,,6.9,1.0,7.08,,0.04,,0.82,increase,no
27520400,Bo_2016,Italy,Type2_Diabetes,62,58,Resveratrol,500,180,HbA1c,percent,6.9,1.2,7.21,,6.9,1.0,7.08,,0.10,,0.51,increase,no
31475415,Abdollahi_2019,Iran,Type2_Diabetes,35,36,Resveratrol,1000,56,HbA1c,percent,7.33,0.65,7.38,0.73,7.34,0.55,7.32,0.63,0.06,,0.35,increase,no
23557933,Tomé-Carneiro_2013,Spain,Type2_Diabetes_Hypertensive_CAD,13,9,Resveratrol,12.15,365,HbA1c,percent,7.4,1.6,7.6,1.5,7.0,1.0,7.4,1.0,0.2,,,increase,no
23557933,Tomé-Carneiro_2013,Spain,Type2_Diabetes_Hypertensive_CAD,13,13,Resveratrol,12.15,365,HbA1c,percent,7.4,1.6,7.6,1.5,7.1,1.3,7.2,1.2,0.4,,,increase,no
27207552,Xue_2016,UK,Overweight_Obese_Metabolic_Dysfunction,29,29,Resveratrol+Hesperetin,90,56,HbA1c,mmol/mol,36.8,0.8,36.5,0.9,36.7,0.8,36.5,0.8,0.0,,,no_change,no
27207552,Xue_2016,UK,Overweight_Obese_Metabolic_Dysfunction,29,29,Resveratrol+Hesperetin,90,56,HbA1c,percent,5.5,0.1,5.5,0.1,5.5,0.1,5.5,0.1,0.0,,,no_change,no
29057795,Kitada_2017,Japan,Overweight_Men,5,5,Piceatannol,20,56,HbA1c,percent,5.4,0.3,5.5,0.2,5.5,0.1,5.4,0.1,0.1,,0.2017,increase,no
29057795,Kitada_2017,Japan,Overweight_Women,5,4,Piceatannol,20,56,HbA1c,percent,5.7,0.3,5.7,0.3,5.7,0.4,5.7,0.3,0.0,,,,no
29057795,Kitada_2017,Japan,Non_Overweight_Men,5,5,Piceatannol,20,56,HbA1c,percent,5.2,0.2,5.2,0.2,5.6,0.2,5.5,0.2,-0.3,,0.2031,decrease,no
29057795,Kitada_2017,Japan,Non_Overweight_Women,5,5,Piceatannol,20,56,HbA1c,percent,5.2,0.6,5.1,0.6,5.4,0.3,5.6,0.3,-0.5,,,,no
